Filename = home/pandey/Music/NIKAH = CHUPKE CHUPKE RAAT DIN.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Aarambh Hai Prachand(MyMp3Song).mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/SARFAROSH = HOSHWALON KO KHABAR KYA.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/yeh dolat bhi le lo yeh.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Pankaj/Pankaj_Udhas_Ft_Ishq_Nachaye_Niklo_Na_Benaqab.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Pankaj/Main dewana hoon.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Pankaj/DIL DETA HAI.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Pankaj/Pankaj_Udhas_Ft_Aafreen_Dil_Ne_Dhadakna_Chhod_Diya..mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Pankaj/Chithi aai hai.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Pankaj/Pankaj_Udhas_Ft_Aafreen_Dil_Ne_Dhadakna_Chhod_Diya.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Pankaj/Ghunghru tut gaye.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Pankaj/Pankaj_Udhas_Chithi_Aai_Hai002.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Chitthi_Na_Koi_Sandesh.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/NIKAH = CHUPKE CHUPKE RAAT DIN.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/juki juki si nazar.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Itna Toota Hoon Keh Chhoonay Se Bikhar Jaoon Ga - Ghulam Ali.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/In_Concert_Ft_Jagjit_Singh_Meri_Jawani_Dede.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Jagjit_Singh_Har_Taraf_Har_Jagah_Bes.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/03 - Chamakte Chand Ko-(MyMp3Singer.com).mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Classics_Forever_Ft_Jagjit_Singh_Mere_Qareeb_Na_Aao_Main_Sharaabi_Hoon.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/yeh dolat bhi le lo yeh.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Khumaar_Ft_Jagjit_Singh_Shaam_Se_Aankh_Se_Nami_Si_Hai.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Gulam_Ali_Chamaktey_Chand_Ko_Toota_Huwa.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Gulam_Ali_Hum_Tere_Sher_Main_Aaye.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/SARFAROSH = HOSHWALON KO KHABAR KYA.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/kisi_nazar_ko_tera_intezar_aaj_bhi_mp3_49827.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Chitthi_Na_Koi_Sandesh.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/NIKAH = CHUPKE CHUPKE RAAT DIN.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/juki juki si nazar.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Itna Toota Hoon Keh Chhoonay Se Bikhar Jaoon Ga - Ghulam Ali.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/In_Concert_Ft_Jagjit_Singh_Meri_Jawani_Dede.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Jagjit_Singh_Har_Taraf_Har_Jagah_Bes.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Chitthi_Na_Koi_Sandesh.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/NIKAH = CHUPKE CHUPKE RAAT DIN.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/juki juki si nazar.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/In_Concert_Ft_Jagjit_Singh_Meri_Jawani_Dede.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Itna Toota Hoon Keh Chhoonay Se Bikhar Jaoon Ga - Ghulam Ali.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Jagjit_Singh_Har_Taraf_Har_Jagah_Bes.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/03 - Chamakte Chand Ko-(MyMp3Singer.com).mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Classics_Forever_Ft_Jagjit_Singh_Mere_Qareeb_Na_Aao_Main_Sharaabi_Hoon.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/yeh dolat bhi le lo yeh.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Gulam_Ali_Chamaktey_Chand_Ko_Toota_Huwa.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Khumaar_Ft_Jagjit_Singh_Shaam_Se_Aankh_Se_Nami_Si_Hai.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Gulam_Ali_Hum_Tere_Sher_Main_Aaye.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Chitthi_Na_Koi_Sandesh.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/NIKAH = CHUPKE CHUPKE RAAT DIN.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Itna Toota Hoon Keh Chhoonay Se Bikhar Jaoon Ga - Ghulam Ali.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Jagjit_Singh_Har_Taraf_Har_Jagah_Bes.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/juki juki si nazar.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/03 - Chamakte Chand Ko-(MyMp3Singer.com).mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/In_Concert_Ft_Jagjit_Singh_Meri_Jawani_Dede.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Classics_Forever_Ft_Jagjit_Singh_Mere_Qareeb_Na_Aao_Main_Sharaabi_Hoon.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/yeh dolat bhi le lo yeh.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Gulam_Ali_Chamaktey_Chand_Ko_Toota_Huwa.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Khumaar_Ft_Jagjit_Singh_Shaam_Se_Aankh_Se_Nami_Si_Hai.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Gulam_Ali_Hum_Tere_Sher_Main_Aaye.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/SARFAROSH = HOSHWALON KO KHABAR KYA.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Itna Toota Hoon Keh Chhoonay Se Bikhar Jaoon Ga - Ghulam Ali.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Chitthi_Na_Koi_Sandesh.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/juki juki si nazar.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/In_Concert_Ft_Jagjit_Singh_Meri_Jawani_Dede.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Jagjit_Singh_Har_Taraf_Har_Jagah_Bes.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/03 - Chamakte Chand Ko-(MyMp3Singer.com).mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Classics_Forever_Ft_Jagjit_Singh_Mere_Qareeb_Na_Aao_Main_Sharaabi_Hoon.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/yeh dolat bhi le lo yeh.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Gulam_Ali_Chamaktey_Chand_Ko_Toota_Huwa.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Khumaar_Ft_Jagjit_Singh_Shaam_Se_Aankh_Se_Nami_Si_Hai.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Gulam_Ali_Hum_Tere_Sher_Main_Aaye.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/SARFAROSH = HOSHWALON KO KHABAR KYA.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/kisi_nazar_ko_tera_intezar_aaj_bhi_mp3_49827.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Jagjit_Singh_Har_Taraf_Har_Jagah_Bes.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/Chitthi_Na_Koi_Sandesh.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
Filename = home/pandey/Music/Special song/Gazal/juki juki si nazar.mp3, Username = satendrapandeymp, IP-Address = 127.0.0.1
